Date,Open
2011/01/01,"56,30"
2011/04/01,"53,35"
2011/07/01,"50,15"
2011/10/01,"41,95"
2012/01/01,"39,77"
2012/04/01,"42,99"
2012/07/01,"40,01"
2012/10/01,"36,57"
2013/01/01,"42,28"
2013/04/01,"34,81"
2013/07/01,"28,34"
2013/10/01,"34,75"
2014/01/01,"35,71"
2014/04/01,"31,70"
2014/07/01,"29,50"
2014/10/01,"26,65"
2015/01/01,"21,91"
2015/04/01,"17,78"
2015/07/01,"18,32"
2015/10/01,"16,81"
2016/01/01,"13,03"
2016/04/01,"14,89"
2016/07/01,"16,31"
2016/10/01,"17,85"
2017/01/01,"25,28"
2017/04/01,"29,81"
2017/07/01,"29,26"
2017/10/01,"32,25"
2018/01/01,"40,26"
2018/04/01,"42,32"
2018/07/01,"48,89"
2018/10/01,"59,68"
2019/01/01,"51,00"
2019/04/01,"52,35"
2019/07/01,"53,10"
2019/10/01,"47,85"
2020/01/01,"53,30"
2020/04/01,"41,81"
2020/07/01,"56,08"
2020/10/01,"59,53"
